BioVGO;Treactor;Rendnafta
60;484;54.42
60;486;54.81
60;488;55.18
60;490;55.53
60;492;55.87
60;494;56.19
60;496;56.5
60;498;56.8
60;500;57.08
60;502;57.35
60;504;57.6
60;506;57.84
60;508;58.06
60;510;58.27
60;512;58.46
60;514;58.62
60;516;58.76
60;518;58.88
60;520;58.96
60;522;59.01
60;524;59.02
60;526;58.98
60;528;58.89
60;530;58.73
60;532;58.51
60;534;58.21
60;536;57.81
60;538;57.3
60;540;56.67
60;542;55.89
60;544;54.94
60;546;53.81
60;548;52.47
60;550;50.89
60;552;49.05
60;554;46.94
60;556;44.52
60;558;41.79
60;560;38.74
60;562;35.36
60;564;31.65
60;566;27.64
60;568;23.35
60;570;18.81
70;460;52.95
70;462;53.46
70;464;53.94
70;466;54.41
70;468;54.87
70;470;55.3
70;472;55.72
70;474;56.12
70;476;56.51
70;478;56.88
70;480;57.23
70;482;57.57
70;484;57.89
70;486;58.2
70;488;58.49
70;490;58.77
70;492;59.03
70;494;59.29
70;496;59.53
70;498;59.75
70;500;59.97
70;502;60.17
70;504;60.35
70;506;60.52
70;508;60.67
70;510;60.8
70;512;60.92
70;514;61
70;516;61.07
70;518;61.1
70;520;61.1
70;522;61.06
70;524;60.97
70;526;60.84
70;528;60.65
70;530;60.4
70;532;60.07
70;534;59.66
70;536;59.15
70;538;58.52
70;540;57.77
70;542;56.86
70;544;55.79
70;546;54.53
70;548;53.05
70;550;51.34
70;552;49.37
70;554;47.12
70;556;44.57
70;558;41.71
70;560;38.52
70;562;35.02
70;564;31.19
70;566;27.06
70;568;22.66
70;570;18.02
80;460;55.26
80;462;55.71
80;464;56.14
80;466;56.56
80;468;56.96
80;470;57.34
80;472;57.71
80;474;58.06
80;476;58.4
80;478;58.72
80;480;59.03
80;482;59.33
80;484;59.61
80;486;59.88
80;488;60.13
80;490;60.38
80;492;60.61
80;494;60.82
80;496;61.03
80;498;61.22
80;500;61.39
80;502;61.56
80;504;61.7
80;506;61.84
80;508;61.95
80;510;62.04
80;512;62.11
80;514;62.16
80;516;62.18
80;518;62.16
80;520;62.12
80;522;62.03
80;524;61.9
80;526;61.72
80;528;61.49
80;530;61.18
80;532;60.8
80;534;60.34
80;536;59.77
80;538;59.09
80;540;58.27
80;542;57.31
80;544;56.18
80;546;54.86
80;548;53.32
80;550;51.55
80;552;49.52
80;554;47.21
80;556;44.6
80;558;41.69
80;560;38.45
80;562;34.89
80;564;31.01
80;566;26.83
80;568;22.38
80;570;17.7
90;460;57.56
90;462;57.95
90;464;58.33
90;466;58.69
90;468;59.04
90;470;59.37
90;472;59.69
90;474;60
90;476;60.29
90;478;60.57
90;480;60.84
90;482;61.1
90;484;61.34
90;486;61.57
90;488;61.79
90;490;61.99
90;492;62.18
90;494;62.36
90;496;62.53
90;498;62.68
90;500;62.82
90;502;62.94
90;504;63.05
90;506;63.14
90;508;63.21
90;510;63.26
90;512;63.29
90;514;63.29
90;516;63.27
90;518;63.21
90;520;63.12
90;522;62.99
90;524;62.81
90;526;62.58
90;528;62.3
90;530;61.94
90;532;61.51
90;534;60.99
90;536;60.37
90;538;59.63
90;540;58.76
90;542;57.74
90;544;56.55
90;546;55.17
90;548;53.58
90;550;51.75
90;552;49.67
90;554;47.3
90;556;44.64
90;558;41.68
90;560;38.39
90;562;34.78
90;564;30.86
90;566;26.63
90;568;22.14
90;570;17.43
100;460;59.84
100;462;60.17
100;464;60.5
100;466;60.81
100;468;61.11
100;470;61.4
100;472;61.67
100;474;61.93
100;476;62.19
100;478;62.43
100;480;62.65
100;482;62.87
100;484;63.07
100;486;63.26
100;488;63.44
100;490;63.61
100;492;63.76
100;494;63.91
100;496;64.03
100;498;64.14
100;500;64.24
100;502;64.32
100;504;64.39
100;506;64.44
100;508;64.46
100;510;64.47
100;512;64.45
100;514;64.41
100;516;64.34
100;518;64.24
100;520;64.1
100;522;63.92
100;524;63.7
100;526;63.42
100;528;63.08
100;530;62.67
100;532;62.19
