State;FCC-100 - Weight % Zeolite (A/F-3);FCC-100 - Weight % Alumina (A/F-3);FCC-100 - Weight % Rare Earth (A/F-3);FCC-100 - Yield, Std Cut Detailed (H2S-Mass Flow);FCC-100 - Yield, Std Cut Detailed (Coke-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Mass Flow);FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Mass Flow);FCC-100 - Regen Coke on Regen Catalyst (Regenerator);FCC-100 - Regen Coke on Spent Cat (Regenerator)
;;;;kg/h;kg/h;kg/h;kg/h;kg/h;%;%
Case 544;31.33;36.11;4.033;2650;1.08e+004;9138;8,40E+07;2,13E+07;0.05562;0.6573
Case 545;31.33;36.11;5.361;2649;1.08e+004;8975;8,50E+07;2,13E+07;0.05545;0.6581
Case 546;31.33;36.11;6.689;2648;1.08e+004;8813;8,61E+07;2,14E+07;0.05527;0.6588
Case 547;31.33;36.11;8.017;2647;1.08e+004;8650;8,71E+07;2.14e+004;0.05509;0.6596
Case 548;31.33;36.11;9.344;2645;1.08e+004;8489;8,81E+07;2,14E+07;0.0549;0.6604
Case 549;31.33;36.11;10.67;2644;1,08E+07;8327;8,90E+07;2,15E+07;0.05471;0.6613
Case 550;31.33;36.11;12;2643;1,08E+07;8166;9,00E+07;2,15E+07;0.05453;0.6621
Case 551;31.33;38.89;0.05;2659;1.08e+004;9630;8,09E+07;2,12E+07;0.05648;0.654
Case 552;31.33;38.89;1.378;2658;1.08e+004;9465;8,19E+07;2,13E+07;0.05633;0.6546
Case 553;31.33;38.89;2.706;2657;1.08e+004;9302;8,29E+07;2,13E+07;0.05617;0.6553
Case 554;31.33;38.89;4.033;2655;1.08e+004;9139;8,39E+07;2,13E+07;0.056;0.656
Case 555;31.33;38.89;5.361;2654;1.08e+004;8976;8,49E+07;2,13E+07;0.05583;0.6568
Case 556;31.33;38.89;6.689;2653;1.08e+004;8813;8,59E+07;2,14E+07;0.05565;0.6576
Case 557;31.33;38.89;8.017;2652;1.08e+004;8652;8,69E+07;2,14E+07;0.05546;0.6583
Case 558;31.33;38.89;9.344;2651;1.08e+004;8490;8,79E+07;2,14E+07;0.05528;0.6591
Case 559;31.33;38.89;10.67;2649;1.08e+004;8329;8,89E+07;2,15E+07;0.05509;0.66
Case 560;31.33;38.89;12;2648;1.08e+004;8168;8,99E+07;2,15E+07;0.0549;0.6608
Case 561;31.33;41.67;0.05;2664;1.08e+004;9630;8.08e+004;2,12E+07;0.05687;0.6527
Case 562;31.33;41.67;1.378;2663;1.08e+004;9466;8,18E+07;2,13E+07;0.05671;0.6534
