State;FCC-100 - Weight % Zeolite (A/F-3);FCC-100 - Weight % Alumina (A/F-3);FCC-100 - Weight % Rare Earth (A/F-3);FCC-100 - Yield, Std Cut Detailed (H2S-Mass Flow);FCC-100 - Yield, Std Cut Detailed (Coke-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Fuel Gas-Mass Flow);FCC-100 - Yield, Std Cut Grouped (Naphtha C5-430F-Mass Flow);FCC-100 - Yield, Std Cut Grouped (LCO 430-650F-Mass Flow);FCC-100 - Regen Coke on Regen Catalyst (Regenerator);FCC-100 - Regen Coke on Spent Cat (Regenerator)
;;;;kg/h;kg/h;kg/h;kg/h;kg/h;%;%
Case 727;36.67;30.56;8.017;2637;1.08e+004;8499;8,79E+07;2,14E+07;0.05525;0.6582
Case 728;36.67;30.56;9.344;2636;1.08e+004;8338;8,89E+07;2,14E+07;0.05505;0.6591
Case 729;36.67;30.56;10.67;2635;1.08e+004;8176;8,99E+07;2,14E+07;0.05485;0.66
Case 730;36.67;30.56;12;2633;1.08e+004;8015;9,09E+07;2,14E+07;0.05465;0.6608
Case 731;36.67;33.33;0.05;2650;1.08e+004;9479;8,18E+07;2,12E+07;0.05675;0.6522
Case 732;36.67;33.33;1.378;2648;1.08e+004;9315;8,28E+07;2.12e+004;0.05657;0.6529
Case 733;36.67;33.33;2.706;2647;1.08e+004;9151;8,38E+07;2,12E+07;0.05639;0.6537
Case 734;36.67;33.33;4.033;2646;1.08e+004;8988;8,48E+07;2,13E+07;0.05621;0.6545
Case 735;36.67;33.33;5.361;2645;1.08e+004;8825;8,58E+07;2,13E+07;0.05601;0.6553
Case 736;36.67;33.33;6.689;2644;1.08e+004;8663;8,68E+07;2,13E+07;0.05582;0.6561
Case 737;36.67;33.33;8.017;2642;1.08e+004;8501;8,78E+07;2,14E+07;0.05562;0.6569
Case 738;36.67;33.33;9.344;2641;1.08e+004;8339;8,88E+07;2,14E+07;0.05542;0.6578
Case 739;36.67;33.33;10.67;2640;1.08e+004;8178;8,98E+07;2.14e+004;0.05522;0.6587
Case 740;36.67;33.33;12;2639;1.08e+004;8017;9,08E+07;2,14E+07;0.05502;0.6595
Case 741;36.67;36.11;0.05;2655;1.08e+004;9480;8,17E+07;2,12E+07;0.05713;0.6509
Case 742;36.67;36.11;1.378;2654;1.08e+004;9316;8,27E+07;2.12e+004;0.05695;0.6517
Case 743;36.67;36.11;2.706;2652;1.08e+004;9152;8,37E+07;2,12E+07;0.05677;0.6524
Case 744;36.67;36.11;4.033;2651;1.08e+004;8989;8,47E+07;2,13E+07;0.05658;0.6532
Case 745;36.67;36.11;5.361;2650;1.08e+004;8826;8,57E+07;2,13E+07;0.05639;0.654
Case 746;36.67;36.11;6.689;2649;1.08e+004;8664;8,67E+07;2,13E+07;0.0562;0.6548
Case 747;36.67;36.11;8.017;2648;1.08e+004;8502;8,77E+07;2,13E+07;0.056;0.6557
Case 748;36.67;36.11;9.344;2646;1.08e+004;8341;8,87E+07;2,14E+07;0.0558;0.6565
Case 749;36.67;36.11;10.67;2645;1.08e+004;8179;8,97E+07;2,14E+07;0.0556;0.6574
Case 750;36.67;36.11;12;2644;1.08e+004;8019;9,07E+07;2,14E+07;0.05541;0.6582
Case 751;36.67;38.89;0.05;2660;1.08e+004;9480;8,15E+07;2,12E+07;0.05751;0.6497
Case 752;36.67;38.89;1.378;2659;1.08e+004;9316;8,25E+07;2,12E+07;0.05734;0.6504
Case 753;36.67;38.89;2.706;2658;1.08e+004;9153;8,36E+07;2,12E+07;0.05715;0.6512
Case 754;36.67;38.89;4.033;2656;1.08e+004;8990;8,46E+07;2,13E+07;0.05696;0.652
Case 755;36.67;38.89;5.361;2655;1.08e+004;8827;8,56E+07;2,13E+07;0.05677;0.6528
Case 756;36.67;38.89;6.689;2654;1.08e+004;8665;8,66E+07;2.13e+004;0.05658;0.6536
Case 757;36.67;38.89;8.017;2653;1.08e+004;8503;8,76E+07;2,13E+07;0.05638;0.6544
Case 758;36.67;38.89;9.344;2651;1.08e+004;8342;8,86E+07;2,14E+07;0.05619;0.6552
Case 759;36.67;38.89;10.67;2650;1.08e+004;8181;8,96E+07;2,14E+07;0.05599;0.6561
Case 760;36.67;38.89;12;2649;1.08e+004;8020;9,06E+07;2,14E+07;0.05579;0.6569
Case 761;36.67;41.67;0.05;2665;1.08e+004;9480;8,14E+07;2,12E+07;0.0579;0.6485
Case 762;36.67;41.67;1.378;2664;1.08e+004;9317;8,24E+07;2,12E+07;0.05772;0.6492
Case 763;36.67;41.67;2.706;2663;1.08e+004;9153;8,34E+07;2,12E+07;0.05754;0.65
Case 764;36.67;41.67;4.033;2662;1.08e+004;8991;8,44E+07;2,12E+07;0.05735;0.6507
Case 765;36.67;41.67;5.361;2660;1.08e+004;8828;8,54E+07;2,13E+07;0.05716;0.6515
Case 766;36.67;41.67;6.689;2659;1.08e+004;8666;8,64E+07;2.13e+004;0.05696;0.6523
Case 767;36.67;41.67;8.017;2658;1.08e+004;8505;8,74E+07;2,13E+07;0.05677;0.6531
Case 768;36.67;41.67;9.344;2657;1.08e+004;8343;8,84E+07;2,14E+07;0.05657;0.6539
Case 769;36.67;41.67;10.67;2655;1.08e+004;8182;8,94E+07;2,14E+07;0.05638;0.6547
Case 770;36.67;41.67;12;2654;1.08e+004;8022;9,04E+07;2.14e+004;0.05619;0.6556
Case 771;36.67;44.44;0.05;2671;1.08e+004;9481;8,13E+07;2,12E+07;0.05829;0.6473
Case 772;36.67;44.44;1.378;2669;1.08e+004;9317;8,23E+07;2,12E+07;0.05811;0.648
Case 773;36.67;44.44;2.706;2668;1.08e+004;9154;8,33E+07;2,12E+07;0.05792;0.6488
Case 774;36.67;44.44;4.033;2667;1.08e+004;8992;8,43E+07;2,12E+07;0.05773;0.6495
Case 775;36.67;44.44;5.361;2666;1.08e+004;8829;8,53E+07;2,13E+07;0.05754;0.6503
Case 776;36.67;44.44;6.689;2664;1.08e+004;8667;8,63E+07;2,13E+07;0.05735;0.6511
Case 777;36.67;44.44;8.017;2663;1.08e+004;8506;8,73E+07;2,13E+07;0.05716;0.6519
Case 778;36.67;44.44;9.344;2662;1.08e+004;8345;8,83E+07;2,13E+07;0.05697;0.6526
Case 779;36.67;44.44;10.67;2661;1.08e+004;8184;8,93E+07;2,14E+07;0.05678;0.6534
Case 780;36.67;44.44;12;2659;1.08e+004;8024;9,03E+07;2,14E+07;0.05659;0.6542
Case 781;36.67;47.22;0.05;2676;1,08E+07;9481;8,12E+07;2,12E+07;0.05868;0.6461
Case 782;36.67;47.22;1.378;2675;1.08e+004;9318;8,22E+07;2,12E+07;0.0585;0.6468
Case 783;36.67;47.22;2.706;2673;1.08e+004;9155;8,32E+07;2.12e+004;0.05831;0.6475
Case 784;36.67;47.22;4.033;2672;1.08e+004;8992;8,42E+07;2,12E+07;0.05813;0.6483
Case 785;36.67;47.22;5.361;2671;1.08e+004;8830;8,52E+07;2,13E+07;0.05794;0.649
Case 786;36.67;47.22;6.689;2670;1.08e+004;8668;8,62E+07;2,13E+07;0.05775;0.6498
Case 787;36.67;47.22;8.017;2668;1.08e+004;8507;8,72E+07;2,13E+07;0.05755;0.6506
Case 788;36.67;47.22;9.344;2667;1.08e+004;8346;8,82E+07;2,13E+07;0.05736;0.6514
Case 789;36.67;47.22;10.67;2666;1.08e+004;8186;8,92E+07;2,14E+07;0.05718;0.6521
Case 790;36.67;47.22;12;2665;1.08e+004;8025;9,02E+07;2,14E+07;0.05699;0.6529
Case 791;36.67;50;0.05;2681;1,08E+07;9481;8,11E+07;2,11E+07;0.05907;0.6449
Case 792;36.67;50;1.378;2680;1,08E+07;9318;8.21e+004;2,12E+07;0.05889;0.6456
Case 793;36.67;50;2.706;2679;1,08E+07;9155;8.31e+004;2.12e+004;0.05871;0.6463
Case 794;36.67;50;4.033;2677;1.08e+004;8993;8,41E+07;2,12E+07;0.05852;0.6471
Case 795;36.67;50;5.361;2676;1.08e+004;8831;8,51E+07;2,13E+07;0.05833;0.6478
Case 796;36.67;50;6.689;2675;1.08e+004;8670;8,61E+07;2,13E+07;0.05814;0.6486
Case 797;36.67;50;8.017;2674;1.08e+004;8508;8,71E+07;2.13e+004;0.05795;0.6493
Case 798;36.67;50;9.344;2672;1.08e+004;8347;8,81E+07;2,13E+07;0.05777;0.6501
Case 799;36.67;50;10.67;2671;1.08e+004;8187;8,91E+07;2,14E+07;0.05758;0.6508
Case 800;36.67;50;12;2670;1.08e+004;8027;9.01e+004;2,14E+07;0.0574;0.6516
Case 801;39.33;25;0.05;2634;1.08e+004;9403;8.24e+004;2,12E+07;0.05612;0.6537
Case 802;39.33;25;1.378;2633;1.08e+004;9238;8,34E+07;2,12E+07;0.05595;0.6545
Case 803;39.33;25;2.706;2632;1.08e+004;9074;8,44E+07;2,12E+07;0.05576;0.6553
Case 804;39.33;25;4.033;2631;1.08e+004;8911;8,54E+07;2,12E+07;0.05557;0.6561
Case 805;39.33;25;5.361;2630;1.08e+004;8747;8,64E+07;2,13E+07;0.05537;0.657
Case 806;39.33;25;6.689;2628;1.08e+004;8585;8,74E+07;2.13e+004;0.05516;0.6579
Case 807;39.33;25;8.017;2627;1.08e+004;8422;8,84E+07;2,13E+07;0.05496;0.6588
Case 808;39.33;25;9.344;2626;1.08e+004;8260;8,94E+07;2,14E+07;0.05475;0.6597
Case 809;39.33;25;10.67;2625;1.08e+004;8099;9,04E+07;2,14E+07;0.05454;0.6606
Case 810;39.33;25;12;2623;1.08e+004;7937;9,14E+07;2,14E+07;0.05433;0.6615
Case 811;39.33;27.78;0.05;2640;1.08e+004;9403;8,23E+07;2,12E+07;0.0565;0.6525
Case 812;39.33;27.78;1.378;2639;1.08e+004;9239;8.33e+004;2,12E+07;0.05632;0.6533
Case 813;39.33;27.78;2.706;2637;1.08e+004;9075;8.43e+004;2,12E+07;0.05613;0.6541
Case 814;39.33;27.78;4.033;2636;1.08e+004;8912;8,53E+07;2,12E+07;0.05594;0.6549
Case 815;39.33;27.78;5.361;2635;1.08e+004;8749;8,63E+07;2,13E+07;0.05574;0.6557
Case 816;39.33;27.78;6.689;2634;1.08e+004;8586;8,73E+07;2.13e+004;0.05553;0.6566
Case 817;39.33;27.78;8.017;2632;1.08e+004;8424;8,83E+07;2,13E+07;0.05533;0.6575
Case 818;39.33;27.78;9.344;2631;1.08e+004;8262;8,93E+07;2,14E+07;0.05512;0.6584
Case 819;39.33;27.78;10.67;2630;1.08e+004;8100;9,03E+07;2,14E+07;0.05491;0.6593
Case 820;39.33;27.78;12;2629;1.08e+004;7939;9.13e+004;2,14E+07;0.05471;0.6602
Case 821;39.33;30.56;0.05;2645;1.08e+004;9404;8,22E+07;2,12E+07;0.05688;0.6513
Case 822;39.33;30.56;1.378;2644;1.08e+004;9240;8,32E+07;2,12E+07;0.05669;0.652
Case 823;39.33;30.56;2.706;2643;1.08e+004;9076;8,42E+07;2,12E+07;0.0565;0.6528
Case 824;39.33;30.56;4.033;2641;1.08e+004;8913;8.52e+004;2,12E+07;0.05631;0.6537
Case 825;39.33;30.56;5.361;2640;1.08e+004;8750;8.62e+004;2,13E+07;0.05611;0.6545
Case 826;39.33;30.56;6.689;2639;1.08e+004;8587;8.72e+004;2,13E+07;0.05591;0.6554
Case 827;39.33;30.56;8.017;2638;1.08e+004;8425;8.82e+004;2,13E+07;0.0557;0.6562
Case 828;39.33;30.56;9.344;2636;1.08e+004;8263;8.92e+004;2,14E+07;0.0555;0.6571
Case 829;39.33;30.56;10.67;2635;1.08e+004;8102;9,02E+07;2,14E+07;0.05529;0.658
Case 830;39.33;30.56;12;2634;1.08e+004;7941;9,12E+07;2,14E+07;0.05509;0.6589
Case 831;39.33;33.33;0.05;2650;1.08e+004;9404;8,21E+07;2,11E+07;0.05726;0.6501
Case 832;39.33;33.33;1.378;2649;1.08e+004;9240;8,31E+07;2,12E+07;0.05707;0.6508
Case 833;39.33;33.33;2.706;2648;1.08e+004;9077;8,41E+07;2.12e+004;0.05688;0.6516
Case 834;39.33;33.33;4.033;2647;1.08e+004;8914;8,51E+07;2,12E+07;0.05668;0.6524
Case 835;39.33;33.33;5.361;2645;1.08e+004;8751;8,61E+07;2,13E+07;0.05648;0.6533
Case 836;39.33;33.33;6.689;2644;1.08e+004;8588;8,71E+07;2,13E+07;0.05628;0.6541
Case 837;39.33;33.33;8.017;2643;1.08e+004;8426;8,81E+07;2,13E+07;0.05608;0.655
Case 838;39.33;33.33;9.344;2641;1.08e+004;8265;8,91E+07;2,13E+07;0.05588;0.6558
Case 839;39.33;33.33;10.67;2640;1.08e+004;8104;9,01E+07;2,14E+07;0.05567;0.6567
Case 840;39.33;33.33;12;2639;1.08e+004;7943;9,11E+07;2.14e+004;0.05547;0.6576
Case 841;39.33;36.11;0.05;2655;1.08e+004;9405;8,20E+07;2,11E+07;0.05764;0.6488
Case 842;39.33;36.11;1.378;2654;1.08e+004;9241;8,30E+07;2,12E+07;0.05745;0.6496
Case 843;39.33;36.11;2.706;2653;1.08e+004;9078;8,40E+07;2.12e+004;0.05726;0.6504
Case 844;39.33;36.11;4.033;2652;1.08e+004;8915;8,50E+07;2,12E+07;0.05706;0.6512
Case 845;39.33;36.11;5.361;2651;1.08e+004;8752;8,60E+07;2,13E+07;0.05686;0.652
Case 846;39.33;36.11;6.689;2649;1.08e+004;8590;8,70E+07;2,13E+07;0.05666;0.6529
Case 847;39.33;36.11;8.017;2648;1.08e+004;8428;8,80E+07;2,13E+07;0.05646;0.6537
Case 848;39.33;36.11;9.344;2647;1.08e+004;8266;8,90E+07;2,13E+07;0.05626;0.6546
Case 849;39.33;36.11;10.67;2645;1.08e+004;8105;9,00E+07;2,14E+07;0.05606;0.6554
Case 850;39.33;36.11;12;2644;1.08e+004;7945;9,10E+07;2,14E+07;0.05586;0.6563
Case 851;39.33;38.89;0.05;2661;1,08E+07;9405;8,19E+07;2,11E+07;0.05802;0.6476
Case 852;39.33;38.89;1.378;2660;1.08e+004;9242;8,29E+07;2,12E+07;0.05784;0.6484
Case 853;39.33;38.89;2.706;2658;1.08e+004;9078;8,39E+07;2,12E+07;0.05764;0.6492
Case 854;39.33;38.89;4.033;2657;1.08e+004;8915;8,49E+07;2,12E+07;0.05745;0.65
Case 855;39.33;38.89;5.361;2656;1.08e+004;8753;8,59E+07;2,13E+07;0.05725;0.6508
Case 856;39.33;38.89;6.689;2654;1.08e+004;8591;8,69E+07;2,13E+07;0.05705;0.6516
Case 857;39.33;38.89;8.017;2653;1.08e+004;8429;8,79E+07;2.13e+004;0.05685;0.6524
Case 858;39.33;38.89;9.344;2652;1.08e+004;8268;8,89E+07;2,13E+07;0.05665;0.6533
Case 859;39.33;38.89;10.67;2651;1.08e+004;8107;8,99E+07;2,14E+07;0.05645;0.6541
Case 860;39.33;38.89;12;2649;1.08e+004;7946;9,09E+07;2,14E+07;0.05625;0.6549
Case 861;39.33;41.67;0.05;2666;1,08E+07;9406;8,17E+07;2,11E+07;0.05841;0.6464
Case 862;39.33;41.67;1.378;2665;1,08E+07;9242;8,27E+07;2,12E+07;0.05822;0.6472
Case 863;39.33;41.67;2.706;2663;1.08e+004;9079;8,38E+07;2,12E+07;0.05803;0.648
Case 864;39.33;41.67;4.033;2662;1.08e+004;8916;8,48E+07;2,12E+07;0.05783;0.6488
Case 865;39.33;41.67;5.361;2661;1.08e+004;8754;8,58E+07;2,12E+07;0.05764;0.6496
Case 866;39.33;41.67;6.689;2660;1.08e+004;8592;8,68E+07;2,13E+07;0.05744;0.6504
Case 867;39.33;41.67;8.017;2658;1.08e+004;8431;8,78E+07;2,13E+07;0.05724;0.6512
Case 868;39.33;41.67;9.344;2657;1.08e+004;8269;8,88E+07;2,13E+07;0.05704;0.652
Case 869;39.33;41.67;10.67;2656;1.08e+004;8109;8,98E+07;2,14E+07;0.05684;0.6528
Case 870;39.33;41.67;12;2655;1.08e+004;7948;9,08E+07;2,14E+07;0.05665;0.6536
Case 871;39.33;44.44;0.05;2671;1,08E+07;9406;8,16E+07;2,11E+07;0.0588;0.6453
Case 872;39.33;44.44;1.378;2670;1,08E+07;9243;8,26E+07;2,12E+07;0.05861;0.646
Case 873;39.33;44.44;2.706;2669;1,08E+07;9080;8,36E+07;2,12E+07;0.05842;0.6468
Case 874;39.33;44.44;4.033;2667;1.08e+004;8917;8,46E+07;2,12E+07;0.05822;0.6475
Case 875;39.33;44.44;5.361;2666;1.08e+004;8755;8,56E+07;2,12E+07;0.05803;0.6483
Case 876;39.33;44.44;6.689;2665;1.08e+004;8593;8,66E+07;2,13E+07;0.05783;0.6491
Case 877;39.33;44.44;8.017;2664;1.08e+004;8432;8,76E+07;2,13E+07;0.05763;0.6499
Case 878;39.33;44.44;9.344;2662;1.08e+004;8271;8,86E+07;2,13E+07;0.05744;0.6507
Case 879;39.33;44.44;10.67;2661;1.08e+004;8110;8,96E+07;2,13E+07;0.05724;0.6515
Case 880;39.33;44.44;12;2660;1.08e+004;7950;9,06E+07;2,14E+07;0.05705;0.6523
Case 881;39.33;47.22;0.05;2676;1,08E+07;9407;8,15E+07;2,11E+07;0.05919;0.6441
Case 882;39.33;47.22;1.378;2675;1,08E+07;9243;8,25E+07;2,12E+07;0.05901;0.6448
Case 883;39.33;47.22;2.706;2674;1,08E+07;9081;8,35E+07;2,12E+07;0.05881;0.6456
Case 884;39.33;47.22;4.033;2673;1,08E+07;8918;8,45E+07;2.12e+004;0.05862;0.6463
Case 885;39.33;47.22;5.361;2671;1,08E+07;8756;8,55E+07;2,12E+07;0.05842;0.6471
Case 886;39.33;47.22;6.689;2670;1.08e+004;8595;8,65E+07;2,13E+07;0.05823;0.6479
Case 887;39.33;47.22;8.017;2669;1.08e+004;8433;8,75E+07;2,13E+07;0.05803;0.6486
Case 888;39.33;47.22;9.344;2668;1.08e+004;8272;8,85E+07;2.13e+004;0.05784;0.6494
Case 889;39.33;47.22;10.67;2666;1.08e+004;8112;8,95E+07;2,13E+07;0.05765;0.6502
Case 890;39.33;47.22;12;2665;1.08e+004;7952;9,05E+07;2,14E+07;0.05746;0.6509
Case 891;39.33;50;0.05;2682;1,08E+07;9407;8.14e+004;2,11E+07;0.05959;0.6429
Case 892;39.33;50;1.378;2680;1,08E+07;9244;8,24E+07;2,11E+07;0.0594;0.6436
Case 893;39.33;50;2.706;2679;1,08E+07;9081;8,34E+07;2,12E+07;0.05921;0.6443
Case 894;39.33;50;4.033;2678;1,08E+07;8919;8,44E+07;2,12E+07;0.05902;0.6451
Case 895;39.33;50;5.361;2677;1,08E+07;8757;8,54E+07;2,12E+07;0.05882;0.6458
Case 896;39.33;50;6.689;2675;1,08E+07;8596;8,64E+07;2,12E+07;0.05863;0.6466
Case 897;39.33;50;8.017;2674;1,08E+07;8435;8,74E+07;2,13E+07;0.05844;0.6474
Case 898;39.33;50;9.344;2673;1.08e+004;8274;8,84E+07;2,13E+07;0.05825;0.6481
Case 899;39.33;50;10.67;2671;1.08e+004;8113;8,94E+07;2,13E+07;0.05806;0.6489
Case 900;39.33;50;12;2670;1.08e+004;7953;9,04E+07;2,13E+07;0.05788;0.6496
Case 901;42;25;0.05;2635;1.08e+004;9328;8,27E+07;2,11E+07;0.05663;0.6516
Case 902;42;25;1.378;2634;1.08e+004;9163;8,37E+07;2,12E+07;0.05644;0.6524
Case 903;42;25;2.706;2633;1.08e+004;8999;8,47E+07;2,12E+07;0.05624;0.6532
Case 904;42;25;4.033;2631;1.08e+004;8836;8,57E+07;2,12E+07;0.05604;0.6541
Case 905;42;25;5.361;2630;1.08e+004;8673;8,67E+07;2,13E+07;0.05583;0.655
Case 906;42;25;6.689;2629;1.08e+004;8510;8,77E+07;2,13E+07;0.05562;0.6559
Case 907;42;25;8.017;2628;1.08e+004;8348;8,87E+07;2,13E+07;0.05541;0.6568
Case 908;42;25;9.344;2626;1.08e+004;8186;8,97E+07;2,13E+07;0.0552;0.6577
Case 909;42;25;10.67;2625;1.08e+004;8024;9,07E+07;2,14E+07;0.05498;0.6586
Case 910;42;25;12;2624;1.08e+004;7863;9,17E+07;2,14E+07;0.05477;0.6596
Case 911;42;27.78;0.05;2640;1.08e+004;9328;8.26e+004;2,11E+07;0.05701;0.6504
Case 912;42;27.78;1.378;2639;1.08e+004;9164;8,36E+07;2,12E+07;0.05682;0.6512
Case 913;42;27.78;2.706;2638;1.08e+004;9000;8,46E+07;2,12E+07;0.05662;0.652
Case 914;42;27.78;4.033;2637;1.08e+004;8837;8,56E+07;2,12E+07;0.05641;0.6529
Case 915;42;27.78;5.361;2635;1.08e+004;8674;8,66E+07;2,12E+07;0.0562;0.6537
Case 916;42;27.78;6.689;2634;1.08e+004;8511;8,76E+07;2,13E+07;0.05599;0.6546
Case 917;42;27.78;8.017;2633;1.08e+004;8349;8,86E+07;2.13e+004;0.05578;0.6555
Case 918;42;27.78;9.344;2632;1.08e+004;8187;8,96E+07;2,13E+07;0.05557;0.6564
Case 919;42;27.78;10.67;2630;1.08e+004;8026;9,06E+07;2,14E+07;0.05536;0.6573
Case 920;42;27.78;12;2629;1.08e+004;7865;9,16E+07;2,14E+07;0.05515;0.6583
Case 921;42;30.56;0.05;2646;1,08E+07;9329;8,25E+07;2,11E+07;0.05739;0.6492
Case 922;42;30.56;1.378;2644;1.08e+004;9165;8.35e+004;2,12E+07;0.05719;0.65
Case 923;42;30.56;2.706;2643;1.08e+004;9001;8.45e+004;2,12E+07;0.05699;0.6508
Case 924;42;30.56;4.033;2642;1.08e+004;8838;8,55E+07;2,12E+07;0.05679;0.6516
Case 925;42;30.56;5.361;2641;1.08e+004;8675;8,65E+07;2,12E+07;0.05658;0.6525
Case 926;42;30.56;6.689;2639;1.08e+004;8513;8,75E+07;2,13E+07;0.05637;0.6534
Case 927;42;30.56;8.017;2638;1.08e+004;8351;8,85E+07;2,13E+07;0.05616;0.6543
Case 928;42;30.56;9.344;2637;1.08e+004;8189;8,95E+07;2,13E+07;0.05595;0.6552
Case 929;42;30.56;10.67;2635;1.08e+004;8028;9.05e+004;2,14E+07;0.05574;0.656
Case 930;42;30.56;12;2634;1.08e+004;7867;9.15e+004;2,14E+07;0.05553;0.6569
Case 931;42;33.33;0.05;2651;1,08E+07;9329;8,24E+07;2,11E+07;0.05777;0.648
Case 932;42;33.33;1.378;2650;1,08E+07;9166;8,34E+07;2,11E+07;0.05757;0.6488
Case 933;42;33.33;2.706;2648;1.08e+004;9002;8,44E+07;2,12E+07;0.05737;0.6496
Case 934;42;33.33;4.033;2647;1.08e+004;8839;8,54E+07;2.12e+004;0.05716;0.6504
Case 935;42;33.33;5.361;2646;1.08e+004;8676;8.64e+004;2,12E+07;0.05696;0.6513
Case 936;42;33.33;6.689;2645;1.08e+004;8514;8.74e+004;2,13E+07;0.05675;0.6521
Case 937;42;33.33;8.017;2643;1.08e+004;8352;8.84e+004;2,13E+07;0.05654;0.653
Case 938;42;33.33;9.344;2642;1.08e+004;8191;8,94E+07;2,13E+07;0.05633;0.6539
Case 939;42;33.33;10.67;2641;1.08e+004;8029;9,04E+07;2,13E+07;0.05613;0.6548
Case 940;42;33.33;12;2639;1.08e+004;7869;9,14E+07;2,14E+07;0.05592;0.6556
Case 941;42;36.11;0.05;2656;1,08E+07;9330;8,23E+07;2,11E+07;0.05815;0.6468
Case 942;42;36.11;1.378;2655;1,08E+07;9166;8,33E+07;2,11E+07;0.05795;0.6476
Case 943;42;36.11;2.706;2654;1,08E+07;9003;8,43E+07;2,12E+07;0.05775;0.6484
Case 944;42;36.11;4.033;2652;1.08e+004;8840;8,53E+07;2.12e+004;0.05755;0.6492
Case 945;42;36.11;5.361;2651;1.08e+004;8678;8,63E+07;2,12E+07;0.05734;0.65
Case 946;42;36.11;6.689;2650;1.08e+004;8515;8,73E+07;2,13E+07;0.05713;0.6509
Case 947;42;36.11;8.017;2648;1.08e+004;8354;8,83E+07;2,13E+07;0.05693;0.6517
Case 948;42;36.11;9.344;2647;1.08e+004;8192;8,93E+07;2,13E+07;0.05672;0.6526
Case 949;42;36.11;10.67;2646;1.08e+004;8031;9,03E+07;2,13E+07;0.05652;0.6535
Case 950;42;36.11;12;2645;1.08e+004;7871;9,13E+07;2,14E+07;0.05631;0.6543
Case 951;42;38.89;0.05;2661;1,08E+07;9331;8,22E+07;2,11E+07;0.05854;0.6456
Case 952;42;38.89;1.378;2660;1,08E+07;9167;8,32E+07;2,11E+07;0.05834;0.6464
Case 953;42;38.89;2.706;2659;1,08E+07;9004;8,42E+07;2,12E+07;0.05814;0.6472
Case 954;42;38.89;4.033;2657;1,08E+07;8841;8,52E+07;2,12E+07;0.05793;0.648
Case 955;42;38.89;5.361;2656;1.08e+004;8679;8,62E+07;2,12E+07;0.05773;0.6488
Case 956;42;38.89;6.689;2655;1.08e+004;8517;8,72E+07;2,12E+07;0.05752;0.6496
Case 957;42;38.89;8.017;2654;1.08e+004;8355;8,82E+07;2,13E+07;0.05732;0.6505
Case 958;42;38.89;9.344;2652;1.08e+004;8194;8,92E+07;2.13e+004;0.05711;0.6513
Case 959;42;38.89;10.67;2651;1.08e+004;8033;9,02E+07;2,13E+07;0.05691;0.6521
Case 960;42;38.89;12;2650;1.08e+004;7872;9,12E+07;2,14E+07;0.05671;0.653
Case 961;42;41.67;0.05;2667;1,08E+07;9331;8,21E+07;2.11e+004;0.05892;0.6444
Case 962;42;41.67;1.378;2665;1,08E+07;9168;8,31E+07;2,11E+07;0.05873;0.6452
Case 963;42;41.67;2.706;2664;1,08E+07;9005;8,41E+07;2,12E+07;0.05853;0.646
Case 964;42;41.67;4.033;2663;1,08E+07;8842;8,51E+07;2,12E+07;0.05832;0.6468
Case 965;42;41.67;5.361;2661;1,08E+07;8680;8,61E+07;2,12E+07;0.05812;0.6476
Case 966;42;41.67;6.689;2660;1.08e+004;8518;8,71E+07;2,12E+07;0.05792;0.6484
Case 967;42;41.67;8.017;2659;1.08e+004;8356;8,81E+07;2,13E+07;0.05771;0.6492
Case 968;42;41.67;9.344;2658;1.08e+004;8195;8,91E+07;2,13E+07;0.05751;0.65
Case 969;42;41.67;10.67;2656;1.08e+004;8035;9,01E+07;2,13E+07;0.05731;0.6508
Case 970;42;41.67;12;2655;1.08e+004;7874;9,11E+07;2,13E+07;0.05712;0.6516
Case 971;42;44.44;0.05;2672;1,08E+07;9332;8,19E+07;2,11E+07;0.05932;0.6432
Case 972;42;44.44;1.378;2670;1,08E+07;9168;8,29E+07;2,11E+07;0.05912;0.644
Case 973;42;44.44;2.706;2669;1,08E+07;9006;8,40E+07;2,12E+07;0.05892;0.6448
Case 974;42;44.44;4.033;2668;1,08E+07;8843;8,50E+07;2,12E+07;0.05872;0.6456
Case 975;42;44.44;5.361;2667;1,08E+07;8681;8,60E+07;2.12e+004;0.05852;0.6464
Case 976;42;44.44;6.689;2665;1,08E+07;8519;8,70E+07;2,12E+07;0.05831;0.6472
Case 977;42;44.44;8.017;2664;1,08E+07;8358;8,80E+07;2,13E+07;0.05811;0.6479
Case 978;42;44.44;9.344;2663;1.08e+004;8197;8,90E+07;2,13E+07;0.05792;0.6487
Case 979;42;44.44;10.67;2661;1.08e+004;8036;9,00E+07;2.13e+004;0.05772;0.6495
Case 980;42;44.44;12;2660;1.08e+004;7876;9,09E+07;2,13E+07;0.05753;0.6503
Case 981;42;47.22;0.05;2677;1,08E+07;9332;8,18E+07;2,11E+07;0.05971;0.6421
Case 982;42;47.22;1.378;2676;1,08E+07;9169;8,28E+07;2,11E+07;0.05951;0.6428
Case 983;42;47.22;2.706;2674;1,08E+07;9006;8,38E+07;2,11E+07;0.05932;0.6436
Case 984;42;47.22;4.033;2673;1,08E+07;8844;8,48E+07;2,12E+07;0.05912;0.6443
Case 985;42;47.22;5.361;2672;1,08E+07;8682;8,58E+07;2,12E+07;0.05892;0.6451
