",""Fresh MAT"",""ZSA M2/GM"",""MSA M2/GM"",""Zeolite(Wt%)"",""Alumina(Wt%)"",""ZRE(Wt%)"",""Sodium(ppm)"",""Iron(ppm)"",""Total mass flow (kg/h)"",""H2S mass flow (kg/h)"",""Coke mass flow (kg/h)"",""Fuel gas mass flow (kg/h)"",""Nafta mass flow (kg/h)"",""LCO mass flow (kg/h)"",""Coke on Regen Catalyst (%)"",""Coke on Spent Catalyst (%)"""
"Magnasiv 380,""79.76"",""143.9"",""149.4"",""24.468628"",""42.9"",""10.05369"",""2900"",""3500"",""182674.56900147"",""2307.3429550501"",""10894.975588856"",""7891.1592632327"",""95143.180563436"",""21611.656493104"",""0.06245946578427"",""0.63491705555403"""
"Maxol C,""79.32"",""219.3"",""89.3"",""36.362129"",""31.8"",""4.015166"",""1200"",""2800"",""182674.56900147"",""2317.1108363178"",""10884.088322453"",""8320.2339111111"",""90358.091231503"",""21339.623392875"",""0.066097591820178"",""0.62278457028523"""
"Millenium,""74.245"",""151.5"",""72.2"",""24.872763"",""35.7"",""4.26169"",""2500"",""1900"",""182674.56900147"",""2346.3474561787"",""10856.946407587"",""7163.2598032667"",""93690.160216152"",""20277.256017574"",""0.089184010468976"",""0.56837012435956"""
"Nova D50G,""79.52"",""213"",""69.3"",""36.506984"",""38.2"",""7.587589"",""3400"",""3700"",""182674.56900147"",""2337.423582157"",""10851.722634356"",""7729.3783741823"",""95631.17491658"",""20269.781264693"",""0.089210215116712"",""0.5676556871908"""
"Octacat 31FTR,""74.98"",""129.6"",""50.4"",""21.499668"",""26.7"",""6.883827"",""3700"",""4400"",""182674.56900147"",""2332.2175657106"",""10860.94373369"",""7057.9359111179"",""94788.822075613"",""20200.435994541"",""0.090395667243819"",""0.56654638935555"""
"Octacat 50G,""76.855"",""195.1"",""55.3"",""32.173483"",""25"",""3.854106"",""3000"",""3500"",""182674.56900147"",""2358.1363972886"",""10847.519000306"",""8129.5083784393"",""90165.901977083"",""19887.039231537"",""0.098692330578369"",""0.55255075558524"""
"Octavision 639,""76.735"",""199.8"",""122"",""32.044908"",""25.3"",""0.312062"",""4700"",""2200"",""182674.56900147"",""2347.5585832676"",""10851.126976152"",""8785.1694988679"",""88705.303526172"",""20380.801277106"",""0.085771409677906"",""0.57375509746309"""
"Octidyne Extra,""74.135"",""114.7"",""97.3"",""18.770968"",""38.8"",""4.954459"",""2300"",""3600"",""182674.56900147"",""2326.5878380002"",""10881.197131408"",""8726.3782651521"",""89781.951439847"",""21270.960173651"",""0.067598407451579"",""0.61829831443392"""
"Orion 634G,""74.93"",""148.5"",""68.2"",""24.494845"",""28.2"",""5.103114"",""2100"",""3000"",""182674.56900147"",""2335.0309788957"",""10862.829230316"",""7960.371329453"",""92930.811590305"",""20498.748235326"",""0.083398091190451"",""0.57950859765905"""
"Orion 638,""79.31"",""194.2"",""96.3"",""32.256457"",""39.5"",""4.743236"",""2100"",""2800"",""182674.56900147"",""2314.555558082"",""10875.138150706"",""7766.2471892353"",""93393.551685219"",""20958.531405426"",""0.073046714711596"",""0.60316492145036"""
"Orion 854Y,""79.81"",""186.2"",""85.8"",""31.880832"",""29.7"",""8.563139"",""5500"",""3500"",""182674.56900147"",""2266.6696098805"",""10892.766122217"",""8134.382980393"",""92587.036572749"",""21298.33698501"",""0.063233679649835"",""0.63198948775783"""
"Orion 882G,""74.39"",""152.6"",""62.4"",""25.518395"",""30.1"",""7.053735"",""2500"",""3900"",""182674.56900147"",""2319.2466426036"",""10872.740565801"",""7085.2849032613"",""92660.132551021"",""20821.917891274"",""0.075639571932042"",""0.59682522002287"""
"Orion 924G,""75.715"",""171.3"",""94.5"",""28.054373"",""33.5"",""3.421926"",""2800"",""2900"",""182674.56900147"",""2297.3390987829"",""10903.220039109"",""7655.1784463995"",""93744.951823406"",""21708.107259615"",""0.060139059171844"",""0.64336427957212"""
"Orion LC9120J,""75.805"",""172.4"",""78.4"",""28.027963"",""31.9"",""2.354791"",""1900"",""2700"",""182674.56900147"",""2334.8164317616"",""10861.864427823"",""8061.6445900665"",""90331.687403932"",""20565.318241733"",""0.081394139573949"",""0.58336802726797"""
"Precision RS,""76.675"",""155.6"",""101.4"",""25.58369"",""40.3"",""4.377789"",""1800"",""4000"",""182674.56900147"",""2326.6979938994"",""10874.937343901"",""8394.5016367103"",""90493.687575181"",""20958.675249427"",""0.073208946049098"",""0.6029416599297"""
"Precision X-50,""76.29"",""147.7"",""108.2"",""24.399108"",""40.6"",""5.369049"",""2500"",""4200"",""182674.56900147"",""2311.3330996731"",""10891.258374738"",""7574.8726502883"",""93784.463391161"",""21376.859825603"",""0.065963525891239"",""0.62402022375371"""
"Precision X-50VT,""78.57"",""207.6"",""108.6"",""35.040932"",""37.2"",""6.192758"",""2900"",""3600"",""182674.56900147"",""2338.1741474965"",""10855.138197881"",""7907.0304908407"",""95285.197709143"",""20361.938319047"",""0.087129436612322"",""0.57168915533861"""
"Prime RS,""75.74"",""191.3"",""96.2"",""31.515651"",""38"",""3.807632"",""1900"",""3500"",""182674.56900147"",""2327.521512736"",""10867.923244711"",""8235.6382545346"",""92175.522631826"",""20808.755908897"",""0.07644955630398"",""0.59453647566967"""
"Ramcat 45G,""77.415"",""137"",""101.4"",""22.648372"",""49.9"",""5.91654"",""2500"",""3500"",""182674.56900147"",""2330.830579043"",""10864.959413796"",""7563.8059564466"",""94682.071823484"",""20518.37087617"",""0.083279787181445"",""0.57995324932419"""
"Reduxion 60,""73.565"",""257.6"",""106.4"",""42.012558"",""33.5"",""1.88039"",""3000"",""3000"",""182674.56900147"",""2318.8982582419"",""10869.287377189"",""7683.2710353182"",""92667.87524193"",""20870.264265932"",""0.074602955798662"",""0.59872509774575"""
"Residcat 645Z4+,""74.89"",""151.5"",""130.3"",""24.903427"",""37.4"",""4.457218"",""1900"",""5500"",""182674.56900147"",""2309.6698157038"",""10889.164159415"",""7090.2961351451"",""89730.166533287"",""21445.446227501"",""0.063525583683868"",""0.63090947588634"""
"Residcat 774J4+,""73.82"",""161.6"",""79.9"",""26.246549"",""33.3"",""2.362215"",""1900"",""3000"",""182674.56900147"",""2325.2957022641"",""10872.392878541"",""7628.3911015264"",""89824.869875844"",""20907.641036549"",""0.073782020126641"",""0.60128150859567"""
"Residcat 776G15,""78.17"",""141.2"",""92.2"",""23.360079"",""27.4"",""5.864706"",""2900"",""2800"",""182674.56900147"",""2314.6896938982"",""10867.458118576"",""8089.4770977803"",""93449.518611075"",""20664.278677432"",""0.078796507268077"",""0.58915861854614"""
"Residcat 897G-3,""78.87"",""207"",""69.1"",""36.328536"",""25"",""10.129778"",""2900"",""3000"",""182674.56900147"",""2322.5984288544"",""10851.984606911"",""7964.3705633093"",""94095.702907488"",""20101.449487797"",""0.091996044478461"",""0.56269045687669"""
"Spectra 4272K,""78.5"",""159.7"",""89"",""26.559122"",""38.8"",""5.948992"",""2900"",""4200"",""182674.56900147"",""2303.7017948955"",""10886.874284721"",""7549.2483942621"",""93530.574853924"",""21281.273598838"",""0.066749389422833"",""0.62102058717125"""
"Super Resoc,""76.205"",""218.1"",""70.3"",""35.587827"",""40.4"",""2.276059"",""3300"",""4200"",""182674.56900147"",""2338.2137259724"",""10856.244410362"",""7787.8827057089"",""93353.233740955"",""20340.056421716"",""0.087120062256057"",""0.57172244030296"""
"Syntec,""75.535"",""213.9"",""100.2"",""35.361217"",""32.1"",""3.789462"",""2700"",""2500"",""182674.56900147"",""2348.4494967151"",""10853.400368504"",""8011.3189102619"",""91565.48773652"",""20439.732407234"",""0.085087443751907"",""0.57535323539836"""
"Ultrium RS,""75.6"",""219.2"",""65.7"",""36.156701"",""33.5"",""3.457174"",""3600"",""3000"",""182674.56900147"",""2361.5645150707"",""10842.23009336"",""6973.7208102398"",""94273.091010054"",""19869.907051973"",""0.10021788726565"",""0.54999408553803"""
"Vector RS,""74.26"",""218.6"",""107.5"",""35.756931"",""35.2"",""2.544961"",""1800"",""3700"",""182674.56900147"",""2323.2398575791"",""10876.735886575"",""7634.6355496403"",""91034.73958201"",""21041.550391139"",""0.071415160836405"",""0.60750825672981"""
"Vector XS,""77.885"",""215.7"",""102.4"",""35.961987"",""37.6"",""4.671599"",""1800"",""3800"",""182674.56900147"",""2336.8648060747"",""10859.695228411"",""7520.1260265604"",""95511.724307923"",""20587.329037237"",""0.08213460763363"",""0.58169181601971"""
"Vision 59,""76.27"",""189.9"",""113"",""30.567404"",""26.1"",""0.817865"",""2500"",""2300"",""182674.56900147"",""2302.8513806908"",""10898.247148782"",""8340.9904247621"",""88422.894867914"",""21597.137872151"",""0.060660302271971"",""0.64110480127746"""
"XP 800GL,""77.12"",""148.4"",""121.3"",""24.508671"",""37.2"",""5.304245"",""3100"",""5000"",""182674.56900147"",""2315.6622557307"",""10882.615870638"",""8342.1700093444"",""91866.549767286"",""21228.84344143"",""0.068056306096841"",""0.61703757088862"""
"XP 800L,""74.89"",""134.1"",""134.3"",""21.492107"",""38.4"",""0.325701"",""2300"",""5800"",""182674.56900147"",""2270.485930993"",""10949.104823455"",""9436.6268840404"",""82110.690802214"",""22640.018864214"",""0.045182348113498"",""0.71168811841498"""
"XP 8500G,""76.075"",""155.2"",""121.8"",""24.837961"",""40.1"",""0.040261"",""3600"",""5600"",""182674.56900147"",""2330.5075243471"",""10876.067846489"",""8458.7477480902"",""87761.574605806"",""21029.087874305"",""0.071432005951234"",""0.60750959027748"""
"XPD 800GLX,""78.855"",""140.3"",""129.3"",""23.972661"",""36.7"",""11.054259"",""2800"",""5400"",""182674.56900147"",""2298.2668983802"",""10887.29653947"",""8456.6695868345"",""93631.238821498"",""21290.561317773"",""0.066258819208097"",""0.62247789311769"""
"XPF 80L,""77.49"",""168.1"",""126.4"",""27.604894"",""37.4"",""3.876124"",""2000"",""5300"",""182674.56900147"",""2307.4051921293"",""10876.518255021"",""7352.4621553212"",""93156.661693766"",""21064.432636675"",""0.070412957904855"",""0.60983732521476"""
